9.20	-0.60	-1.40	-2.92	-3.43	-2.22	4.89	4.68	-3.11	1.58	7.28	2.89	-4.41
13.32	-5.38	-5.06	-0.95	0.26	-0.41	3.36	0.90	-3.64	3.17	6.87	-1.97	-7.26
16.76	-0.68	-3.82	3.29	1.23	4.21	-2.77	-5.42	-5.99	0.73	4.06	1.95	-4.08
16.94	-4.47	-6.18	-2.98	0.62	3.73	-1.91	-4.41	-6.89	-4.97	1.28	1.78	-4.04
13.93	-8.17	-7.21	-2.68	-0.11	4.18	-1.59	-0.20	-4.48	-1.10	5.92	1.50	-7.61
20.44	-6.96	-5.13	-5.38	-5.18	1.33	1.47	1.42	-3.78	2.05	4.33	1.75	-1.14
16.96	-10.01	-3.71	-1.34	-2.64	1.88	0.53	-2.06	-6.11	1.02	8.29	7.47	1.65
19.16	-7.40	-2.96	-4.73	-6.38	-1.39	-1.85	-1.14	-7.16	-4.58	5.06	2.73	0.40
1.91	-8.36	-6.96	-4.71	1.22	3.76	0.97	-0.86	-6.77	-1.40	3.57	-3.80	-3.73
6.49	-11.75	-3.86	-6.68	-2.96	0.30	-6.25	0.09	-2.85	-0.66	0.23	-0.32	-4.60
5.99	-15.19	-5.34	1.96	1.26	6.04	-2.33	-2.11	0.05	-2.13	-0.59	-1.73	-5.13
-16.11	-7.71	1.83	-2.09	-7.59	1.24	-9.21	-1.78	0.41	-1.16	6.60	0.98	-3.47
-24.64	-9.45	2.66	0.10	-1.51	5.68	-5.07	2.46	3.24	0.34	4.26	4.87	0.68
-22.53	-8.84	1.83	1.03	-3.32	0.42	-9.27	-5.24	2.74	0.43	4.78	5.87	0.79
-14.25	-6.30	9.77	-1.79	-7.62	2.82	-6.00	-4.49	4.27	1.66	3.00	3.56	-3.44
-20.26	-13.90	-0.56	-3.62	-5.17	-0.23	-2.94	1.04	3.38	-0.84	1.28	0.21	-1.27
-13.59	-14.40	6.32	-3.57	-0.14	-1.09	-3.57	4.33	2.00	-1.85	2.19	-1.36	0.23
-7.42	-15.20	4.42	-2.45	-5.05	-3.80	-5.35	2.61	-1.61	-1.27	-3.00	-0.46	4.53
-9.89	-13.26	0.29	-1.44	-5.48	-3.99	-6.74	7.63	3.22	6.58	1.69	-3.80	0.18
-13.13	-19.79	1.11	-5.61	-4.62	-7.96	-10.53	2.31	3.10	3.56	4.16	-0.04	6.48
-5.83	-16.11	3.26	7.75	-6.32	-10.95	-8.92	4.37	4.13	-2.09	1.72	-0.70	3.12
-4.74	-15.68	3.58	4.56	-1.97	-5.72	-6.86	1.68	-1.19	2.00	3.29	-2.21	-0.34
-2.95	-14.16	6.02	5.62	-6.57	-6.36	-7.86	2.35	-1.72	0.54	6.00	-0.22	2.13
-1.89	-15.05	8.79	3.44	-4.63	-9.94	-10.58	6.09	2.60	3.95	-1.00	-3.24	3.51
-5.90	-15.35	3.37	0.74	-3.07	-9.25	-9.03	6.72	4.79	4.31	0.01	-4.64	5.98
-5.86	-8.92	1.39	-1.44	-6.00	-7.04	-4.34	6.85	0.49	-1.82	0.17	-1.09	4.09
0.76	-21.30	7.15	-1.35	-4.16	-1.65	-6.76	9.69	-0.74	5.08	2.07	-3.40	3.40
-1.48	-18.77	7.65	-3.25	-6.89	-1.94	-4.61	10.46	1.40	5.52	3.25	-1.08	3.85
1.08	-19.43	6.68	-7.24	-5.15	-0.17	-8.28	7.53	0.10	2.44	7.54	0.37	1.70
-1.86	-22.21	5.12	0.33	-3.22	1.04	-7.43	7.41	-0.85	4.89	4.54	1.33	3.41
-1.29	-23.66	2.69	1.38	-2.99	-5.66	-11.09	4.77	-1.39	2.56	6.17	-3.40	0.85
0.44	-20.09	3.33	-6.15	-5.30	-1.97	-11.25	6.89	0.06	5.29	9.63	1.05	3.11
