0.97	-2.97	-2.18	4.51	5.56	5.31	0.58	-3.81	-0.26	4.77	2.53	-2.89	-0.66
-2.33	-4.92	-2.16	3.37	7.81	6.72	1.11	-1.20	-2.10	-0.92	1.28	-1.95	-2.44
-4.77	-0.93	-9.79	0.77	4.86	8.43	2.04	-5.82	-0.03	1.88	0.14	-3.90	-5.46
-8.86	-0.53	-2.01	-1.50	5.25	9.74	4.69	-0.62	-1.73	5.58	5.22	-1.52	-1.57
-1.11	-0.15	-0.99	0.59	3.96	6.22	-0.09	1.94	0.51	1.74	3.73	0.19	1.23
3.24	1.10	1.75	7.00	4.60	4.57	0.91	-4.29	3.01	4.33	2.14	-0.27	-0.67
-5.16	-3.40	-2.83	5.44	1.13	5.00	1.95	5.54	5.07	5.99	2.93	3.60	0.16
-6.78	-1.40	2.88	2.85	8.58	5.88	3.68	2.23	6.09	6.37	3.66	0.39	-1.55
-7.57	-2.58	-1.20	0.42	-1.24	0.65	0.34	3.61	5.35	3.55	-1.93	-0.53	2.19
-5.48	-3.32	-0.90	5.21	-1.32	5.93	3.21	-0.86	1.28	6.06	5.10	0.82	0.31
-6.05	-2.98	0.13	9.26	6.06	3.90	3.43	3.36	9.30	5.29	2.34	1.94	-0.28
-2.51	0.57	0.88	7.58	3.84	6.20	0.94	1.33	3.54	2.85	-0.73	1.87	1.46
-5.16	6.01	5.97	11.17	6.12	6.71	0.25	-2.06	2.48	2.74	-2.28	1.23	1.35
-10.32	1.79	8.72	9.03	5.22	3.95	2.18	2.06	1.01	2.53	1.39	2.71	-2.09
-10.85	-0.97	6.52	8.40	2.65	1.99	3.51	1.24	-2.17	-0.19	0.82	-0.40	0.26
-13.90	-5.66	1.74	3.25	-2.67	0.07	8.64	0.19	-2.49	6.38	4.65	2.45	0.74
-12.23	0.11	4.73	5.25	-3.23	-0.45	4.83	-2.43	2.73	9.07	7.21	3.10	2.38
-9.48	-5.91	-1.83	5.52	-0.92	-0.84	4.67	-0.37	-0.17	7.14	6.48	0.80	2.86
-2.00	3.58	3.41	1.28	-2.80	-0.48	-0.40	0.24	-1.31	1.91	5.18	2.06	-5.76
-2.91	4.62	-1.66	-1.25	-2.00	2.16	3.23	0.90	-5.59	-1.21	0.84	4.36	-0.77
-8.80	-0.42	-7.00	3.68	-0.40	-1.17	1.57	-3.81	-0.20	4.65	1.86	-1.20	-2.11
-4.09	0.47	-2.44	1.19	-2.62	0.50	-3.48	-0.29	0.09	3.19	7.61	0.98	-0.49
-4.35	4.65	-1.87	3.17	-2.38	-4.84	-4.59	-3.42	-0.58	4.12	6.16	-0.05	-2.86
-2.10	1.20	-0.54	-2.13	-4.76	-6.36	-5.24	-3.21	1.26	3.11	2.36	1.40	-3.36
-4.58	0.76	-4.34	4.42	-0.42	-3.45	-3.48	-5.45	0.44	-0.70	3.46	2.03	-2.49
-3.27	1.05	-0.59	5.62	-0.65	1.28	2.61	1.84	3.59	1.52	7.87	2.32	-3.16
-5.39	2.29	1.03	-3.40	-4.02	-1.09	-1.77	0.24	0.32	1.37	0.18	2.27	1.46
-5.45	3.43	0.87	-3.20	-2.42	-1.34	-1.54	-3.67	-3.24	3.62	3.18	0.60	1.87
-7.55	0.31	3.88	4.23	-0.17	-3.35	-3.96	-1.73	6.55	3.98	3.77	3.50	0.24
-6.61	-1.20	1.32	0.98	3.02	2.61	-5.36	-5.48	-2.53	4.87	6.78	5.61	0.22
-12.47	-7.49	-2.06	2.48	4.30	4.08	-2.25	1.14	3.49	8.14	8.16	1.54	0.72
-12.68	-2.03	3.96	4.86	0.81	0.93	0.74	1.79	-0.59	3.68	5.98	-2.28	-2.84
-9.14	-2.30	9.21	8.07	3.30	3.65	1.83	2.49	0.25	3.57	3.47	-4.50	-3.98
-7.77	-6.87	3.48	4.49	0.85	1.75	-0.91	0.89	-0.14	2.26	3.90	1.02	0.60
1.60	1.28	6.40	4.75	-0.09	2.41	2.22	0.39	-3.67	2.91	3.37	2.29	2.09
-7.91	4.42	4.35	5.73	-3.86	3.47	-0.58	3.46	-1.87	-1.53	0.05	-0.35	1.98
-11.34	-0.19	4.17	8.86	-7.34	2.16	-0.09	8.64	-3.19	-3.84	0.91	-2.47	6.76
-12.44	-3.16	8.44	12.88	-8.72	-8.93	-1.75	17.26	-9.08	-2.68	2.98	-9.51	3.26
4.17	1.32	4.73	8.23	-9.41	-6.26	-4.61	9.78	0.50	-3.70	-2.85	-6.02	0.08
